timestamp,node_id,session_id,sampling_point,plant_id,soil,temperature,humidity,light
2026-08-28T07:05:22,NODE-03,3,x,15,56.1,24.7,70.9,399.2
2026-08-28T07:05:29,NODE-04,4,x,16,47.6,25.6,57.7,417.1
2026-08-28T07:05:36,NODE-01,5,x,1,50.0,29.4,58.3,766.8
2026-08-28T07:05:43,NODE-02,1,x,2,62.0,22.4,75.0,751.6
2026-08-28T07:05:50,NODE-03,2,x,3,78.8,29.4,70.5,349.8
2026-08-28T07:05:57,NODE-04,3,x,4,59.4,23.7,57.0,285.2
2026-08-28T07:06:04,NODE-01,4,x,5,55.2,29.9,53.0,720.4
2026-08-28T07:06:11,NODE-02,5,x,6,58.2,25.4,73.7,847.3
2026-08-28T07:06:18,NODE-03,1,x,7,62.2,27.7,49.6,428.0
2026-08-28T07:06:25,NODE-04,2,x,8,78.7,26.6,61.3,698.8
2026-08-28T07:06:32,NODE-01,3,3,P04,42.3,26.7,60.1,761.6
2026-08-28T07:06:39,NODE-02,4,4,P04,46.3,29.7,47.4,361.5
2026-08-28T07:06:46,NODE-03,5,5,P04,63.8,27.4,52.1,321.9
2026-08-28T07:06:53,NODE-04,1,6,P04,75.6,24.0,62.8,621.6
2026-08-28T07:07:00,NODE-01,2,1,P04,56.8,26.7,60.7,810.8
2026-08-28T07:07:07,NODE-02,3,2,P04,48.2,27.7,52.2,487.5
2026-08-28T07:07:14,NODE-03,4,3,P04,66.9,24.4,54.5,701.1
2026-08-28T07:07:21,NODE-04,5,4,P04,42.9,25.7,75.0,847.7
2026-08-28T07:07:28,NODE-01,1,5,P04,42.9,23.7,53.0,810.0
2026-08-28T07:07:35,NODE-02,2,6,P04,75.2,29.0,56.1,344.6
2026-08-28T07:07:42,NODE-03,3,1,P04,73.3,27.6,63.4,842.3
2026-08-28T07:07:49,NODE-04,4,2,P04,66.2,22.1,69.5,429.6
2026-08-28T07:07:56,NODE-01,5,3,5,wet,29.5,49.0,319.3
2026-08-28T07:08:03,NODE-02,1,4,6,wet,26.4,53.2,612.9
2026-08-28T07:08:10,NODE-03,2,5,7,wet,23.6,64.0,408.4
2026-08-28T07:08:17,NODE-04,3,6,8,wet,29.2,70.4,305.4
2026-08-28T07:08:24,NODE-01,4,1,9,wet,24.2,45.1,712.7
2026-08-28T07:08:31,NODE-02,5,2,10,wet,24.1,67.2,581.0
2026-08-28T07:08:38,NODE-03,1,3,11,wet,22.1,47.3,779.9
2026-08-28T07:08:45,NODE-04,2,4,12,wet,26.4,70.0,599.5
2026-08-28T07:08:52,NODE-01,3,5,13,wet,23.0,54.2,789.4
2026-08-28T07:08:59,NODE-02,4,6,14,wet,28.9,72.0,376.0
2026-08-28T07:09:06,NODE-03,5,1,15,wet,22.8,68.4,780.5
2026-08-28T07:09:13,NODE-04,1,2,16,wet,27.0,49.6,807.9
2026-08-28T07:09:20,NODE-01,2,3,1,74.6,hot,69.3,778.8
2026-08-28T07:09:27,NODE-02,3,4,2,41.0,hot,55.0,808.5
2026-08-28T07:09:34,NODE-03,4,5,3,72.1,hot,69.3,410.1
2026-08-28T07:09:41,NODE-04,5,6,4,71.5,hot,71.2,765.2
2026-08-28T07:09:48,NODE-01,1,1,5,48.9,hot,58.8,433.1
2026-08-28T07:09:55,NODE-02,2,2,6,71.8,hot,45.7,365.9
2026-08-28T07:10:02,NODE-03,3,3,7,53.1,hot,74.0,417.5
2026-08-28T07:10:09,NODE-04,4,4,8,65.7,hot,74.4,571.7
2026-08-28T07:10:16,NODE-01,5,5,9,77.6,hot,74.1,357.1
2026-08-28T07:10:23,NODE-02,1,6,10,78.5,hot,48.3,510.7
2026-08-28T07:10:30,NODE-03,2,1,11,69.1,hot,63.2,556.9
2026-08-28T07:10:37,NODE-04,3,2,12,55.4,hot,52.6,675.3
2026-08-28T07:10:44,NODE-01,4,3,13,40.1,29.4,humid,681.7
2026-08-28T07:10:51,NODE-02,5,4,14,69.7,27.4,humid,292.0
2026-08-28T07:10:58,NODE-03,1,5,15,66.6,24.6,humid,758.8
2026-08-28T07:11:05,NODE-04,2,6,16,68.8,24.4,humid,495.0
2026-08-28T07:11:12,NODE-01,3,1,1,56.1,24.4,humid,502.3
2026-08-28T07:11:19,NODE-02,4,2,2,77.6,27.4,humid,619.3
2026-08-28T07:11:26,NODE-03,5,3,3,52.0,26.4,humid,422.1
2026-08-28T07:11:33,NODE-04,1,4,4,57.2,26.6,humid,529.0
2026-08-28T07:11:40,NODE-01,2,5,5,57.7,23.7,humid,790.7
2026-08-28T07:11:47,NODE-02,3,6,6,71.8,23.4,humid,559.3
2026-08-28T07:11:54,NODE-03,4,1,7,65.3,24.7,humid,700.7
2026-08-28T07:12:01,NODE-04,5,2,8,66.9,23.8,humid,264.7
2026-08-28T07:12:08,NODE-01,1,3,9,49.8,25.8,70.5,bright
2026-08-28T07:12:15,NODE-02,2,4,10,56.6,27.0,50.8,bright
2026-08-28T07:12:22,NODE-03,3,5,11,59.8,24.0,64.7,bright
2026-08-28T07:12:29,NODE-04,4,6,12,70.0,28.2,48.2,bright
2026-08-28T07:12:36,NODE-01,5,1,13,47.0,29.7,60.5,bright
2026-08-28T07:12:43,NODE-02,1,2,14,50.0,28.8,58.7,bright
2026-08-28T07:12:50,NODE-03,2,3,15,66.7,29.9,62.9,bright
2026-08-28T07:12:57,NODE-04,3,4,16,75.7,26.9,66.6,bright
2026-08-28T07:13:04,NODE-01,4,5,1,73.2,26.4,71.9,bright
2026-08-28T07:13:11,NODE-02,5,6,2,59.0,24.1,52.4,bright
2026-08-28T07:13:18,NODE-03,1,1,3,70.6,26.2,63.8,bright
2026-08-28T07:13:25,NODE-04,2,2,4,43.1,24.3,53.2,bright
2026-08-28T07:13:32,NODE-01,0,3,5,61.6,23.1,51.9,666.4
2026-08-28T07:13:39,NODE-02,0,4,6,68.3,22.5,57.2,575.6
2026-08-28T07:13:46,NODE-03,0,5,7,56.6,23.7,57.6,792.9
2026-08-28T07:13:53,NODE-04,0,6,8,63.4,27.6,70.7,709.4
2026-08-28T07:14:00,NODE-01,0,1,9,55.2,22.0,55.6,702.1
2026-08-28T07:14:07,NODE-02,0,2,10,74.1,29.6,57.6,698.5
2026-08-28T07:14:14,NODE-03,0,3,11,61.8,26.8,51.6,381.7
2026-08-28T07:14:21,NODE-04,0,4,12,57.4,22.2,55.1,657.5
2026-08-28T07:14:28,NODE-01,0,5,13,56.2,23.3,59.0,326.6
2026-08-28T07:14:35,NODE-02,0,6,14,64.9,22.2,56.8,588.6
2026-08-28T07:14:42,NODE-03,0,1,15,41.1,27.1,49.1,527.0
2026-08-28T07:14:49,NODE-04,0,2,16,42.0,25.0,51.3,446.1
2026-08-28T07:14:56,NODE-01,5,7,1,70.4,25.0,67.6,749.2
2026-08-28T07:15:03,NODE-02,1,7,2,50.1,22.7,45.6,573.7
2026-08-28T07:15:10,NODE-03,2,7,3,80.0,24.8,64.5,718.7
2026-08-28T07:15:17,NODE-04,3,7,4,66.1,28.0,73.5,369.6
2026-08-28T07:15:24,NODE-01,4,7,5,40.8,23.2,48.8,651.7
2026-08-28T07:15:31,NODE-02,5,7,6,62.6,23.7,66.0,710.1
2026-08-28T07:15:38,NODE-03,1,7,7,46.7,26.9,67.4,318.7
2026-08-28T07:15:45,NODE-04,2,7,8,72.8,29.7,48.2,265.4
2026-08-28T07:15:52,NODE-01,3,7,9,52.5,27.4,73.7,488.0
2026-08-28T07:15:59,NODE-02,4,7,10,68.6,22.6,65.7,626.3
2026-08-28T07:16:06,NODE-03,5,7,11,44.1,28.2,70.5,610.2
2026-08-28T07:16:13,NODE-04,1,7,12,44.8,29.9,68.5,458.3
2026-08-28T07:16:20,NODE-01,2,3,17,57.1,25.0,60.2,454.7
2026-08-28T07:16:27,NODE-02,3,4,17,74.0,28.6,48.2,826.5
2026-08-28T07:16:34,NODE-03,4,5,17,65.4,28.6,66.2,511.3
2026-08-28T07:16:41,NODE-04,5,6,17,69.4,29.7,53.1,734.9
2026-08-28T07:16:48,NODE-01,1,1,17,61.5,25.9,58.1,688.6
2026-08-28T07:16:55,NODE-02,2,2,17,50.7,28.8,69.9,302.0
2026-08-28T07:17:02,NODE-03,3,3,17,75.3,24.0,58.9,616.2
2026-08-28T07:17:09,NODE-04,4,4,17,55.2,22.2,70.5,359.1
2026-08-28T07:17:16,NODE-01,5,5,17,48.5,28.4,55.2,778.2
2026-08-28T07:17:23,NODE-02,1,6,17,68.0,24.2,45.3,818.8
2026-08-28T07:17:30,NODE-03,2,1,17,43.4,27.8,59.7,704.9
2026-08-28T07:17:37,NODE-04,3,2,17,67.6,27.2,59.7,725.8
2026-08-28T07:17:44,NODE-01,4,3,9,-1.0,23.8,65.8,433.7
2026-08-28T07:17:51,NODE-02,5,4,10,-1.0,25.8,60.9,505.3
2026-08-28T07:17:58,NODE-03,1,5,11,-1.0,24.6,66.1,412.5
2026-08-28T07:18:05,NODE-04,2,6,12,-1.0,23.0,50.8,321.7
2026-08-28T07:18:12,NODE-01,3,1,13,-1.0,28.1,50.6,379.8
2026-08-28T07:18:19,NODE-02,4,2,14,-1.0,27.8,74.3,564.8
2026-08-28T07:18:26,NODE-03,5,3,15,-1.0,22.8,50.8,386.5
2026-08-28T07:18:33,NODE-04,1,4,16,-1.0,22.1,61.0,414.6
2026-08-28T07:18:40,NODE-01,2,5,1,-1.0,26.4,65.9,325.8
2026-08-28T07:18:47,NODE-02,3,6,2,-1.0,25.9,71.2,594.4
2026-08-28T07:18:54,NODE-03,4,1,3,-1.0,25.5,50.5,280.8
2026-08-28T07:19:01,NODE-04,5,2,4,-1.0,25.8,69.7,490.4
2026-08-28T07:19:08,NODE-01,1,3,5,43.0,81.0,46.6,339.5
2026-08-28T07:19:15,NODE-02,2,4,6,62.5,81.0,74.8,321.1
2026-08-28T07:19:22,NODE-03,3,5,7,70.6,81.0,68.7,385.4
2026-08-28T07:19:29,NODE-04,4,6,8,60.9,81.0,58.3,766.1
2026-08-28T07:19:36,NODE-01,5,1,9,79.6,81.0,63.6,615.8
2026-08-28T07:19:43,NODE-02,1,2,10,69.6,81.0,51.2,376.6
2026-08-28T07:19:50,NODE-03,2,3,11,66.4,81.0,50.2,295.0
2026-08-28T07:19:57,NODE-04,3,4,12,40.1,81.0,62.8,424.8
2026-08-28T07:20:04,NODE-01,4,5,13,49.3,81.0,66.1,522.4
2026-08-28T07:20:11,NODE-02,5,6,14,67.5,81.0,68.6,625.0
2026-08-28T07:20:18,NODE-03,1,1,15,66.4,81.0,57.8,576.7
2026-08-28T07:20:25,NODE-04,2,2,16,65.9,81.0,69.8,292.8
2026-08-28T07:20:32,NODE-01,3,3,1,46.6,24.5,101.0,591.5
2026-08-28T07:20:39,NODE-02,4,4,2,51.5,23.0,101.0,669.8
2026-08-28T07:20:46,NODE-03,5,5,3,77.7,26.0,101.0,298.3
2026-08-28T07:20:53,NODE-04,1,6,4,41.6,25.5,101.0,400.2
2026-08-28T07:21:00,NODE-01,2,1,5,43.7,29.7,101.0,595.1
2026-08-28T07:21:07,NODE-02,3,2,6,78.0,30.0,101.0,411.7
2026-08-28T07:21:14,NODE-03,4,3,7,41.6,28.1,101.0,640.9
2026-08-28T07:21:21,NODE-04,5,4,8,76.6,23.5,101.0,630.9
2026-08-28T07:21:28,NODE-01,1,5,9,59.7,22.7,101.0,450.0
2026-08-28T07:21:35,NODE-02,2,6,10,66.8,28.9,101.0,666.2
2026-08-28T07:21:42,NODE-03,3,1,11,51.5,29.6,101.0,580.1
2026-08-28T07:21:49,NODE-04,4,2,12,58.2,24.5,101.0,832.1
2026-08-28T07:21:56,NODE-01,5,3,13,56.2,26.1,74.6,1001.0
2026-08-28T07:22:03,NODE-02,1,4,14,61.7,25.3,50.6,1001.0
2026-08-28T07:22:10,NODE-03,2,5,15,70.3,27.0,67.8,1001.0
2026-08-28T07:22:17,NODE-04,3,6,16,62.0,29.4,58.1,1001.0
2026-08-28T07:22:24,NODE-01,4,1,1,44.9,29.8,63.3,1001.0
2026-08-28T07:22:31,NODE-02,5,2,2,46.3,26.4,61.6,1001.0
2026-08-28T07:22:38,NODE-03,1,3,3,79.7,29.3,58.8,1001.0
2026-08-28T07:22:45,NODE-04,2,4,4,73.3,26.0,66.5,1001.0
2026-08-28T07:22:52,NODE-01,3,5,5,50.9,28.7,74.4,1001.0
2026-08-28T07:22:59,NODE-02,4,6,6,62.1,25.1,72.7,1001.0
2026-08-28T07:23:06,NODE-03,5,1,7,75.2,28.9,53.3,1001.0
2026-08-28T07:23:13,NODE-04,1,2,8,56.6,29.5,60.2,1001.0
